Service,EC2-Instances($),Elastic Container Service for Kubernetes($),EC2-Other($),Relational Database Service($),VPC($),Elastic Container Service($),Elastic Load Balancing($),CloudWatch($),Key Management Service($),Secrets Manager($),EC2 Container Registry (ECR)($),Cost Explorer($),Inspector($),Security Hub($),S3($),Service Catalog($),Location Service($),SQS($),DynamoDB($),SNS($),Glacier($),Step Functions($),Lightsail($),Simple Workflow Service($),CloudShell($),CloudTrail($),Glue($),Tax($),Systems Manager($),CloudFormation($),Lambda($),X-Ray($),Total costs($)
06-06-2025,12.7968,,1.998689322,2.822291548,2.058887495,1.346895888,1.620084645,0.291113333,0.201056002,0.040350003,0.00047627,,,0.004,0.000107223,,,0,,0,7.59E-08,4.86E-08,,0,,0,0,,,,,,23.18075185
07-06-2025,12.7968,,1.998225564,2.8742165,2.05315554,1.297800163,1.620036729,0.290880723,0.200648002,0.040230003,0.00047627,,,0.004,5.84184E-05,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,23.176528
08-06-2025,12.7968,,1.997950154,2.824099861,2.05326805,1.298396166,1.620043828,0.290880726,0.200732002,0.040235003,0.00047627,,,0.004,0.000083815,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,0,,,,23.12696596
09-06-2025,12.7968,,1.990354444,2.862621054,2.340438985,2.24461818,2.070073604,0.422423808,0.200690002,0.040230003,0.001813675,,,0.004,0.001032609,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,24.97509645
10-06-2025,12.97269745,,2.014608154,3.352925503,2.931943115,3.845432884,2.745138475,0.858755374,0.200786002,0.040235003,0.00315108,,,0.004,0.000201254,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,0,,,28.96987437
11-06-2025,13.0944,,2.023679126,4.837667186,3.05094166,3.989356877,2.70013269,0.892230781,0.200972002,0.040345003,0.00047627,,,0.004,0.00013178,,,0,,0,7.59E-08,4.86E-08,,0,,0,0,,,,,,30.8343335
12-06-2025,15.86111076,,2.096217938,4.382610683,2.89802497,3.225976981,2.407576354,0.655355998,0.195188446,0.040235003,0.00047627,,,0.004,0.000162652,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,31.76693614
13-06-2025,14.36597468,,2.015601868,2.636566328,1.792915245,1.27478314,1.597535852,0.232610504,0.195116446,0.040230003,0.001813675,,,0.004,5.24739E-05,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,0,,,24.15720029
14-06-2025,11.4048,,1.871681193,0.057356405,0.72,,1.080012181,0.003880536,0.200732002,0.040235003,0.00047627,,,0.004,0.000141053,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,15.38331472
15-06-2025,11.4048,,1.878689965,0.011550293,0.72095417,,1.080012956,0.004138562,0.200972002,0.040345003,0.00047627,,,0.004,0.000131782,,,0,,0,7.59E-08,4.86E-08,,0,,0,0,,,,,,15.34607113
16-06-2025,11.4048,,1.878703335,0.011550293,0.76774722,0.513787591,1.080021042,0.204161013,0.200738002,0.040235003,0.00047627,,,0.004,0.000223164,,,0,0.0000005,0,5.06E-08,3.24E-08,,0,,0,0,,,0,,,16.10644352
17-06-2025,11.4048,,1.878697838,0.011550293,1.61128192,2.61403374,1.636877541,0.492641367,0.200648002,0.040230003,0.619694664,,,0.004,0.000496956,,,0,0.00000025,0,5.06E-08,3.24E-08,,0,,0,0,,,0,,,20.51495266
18-06-2025,11.4048,,1.878711194,0.011550293,2.37602361,3.392545821,2.193777056,0.751894403,0.201056002,0.040350003,1.262986297,,,0.004,0.000136977,,,0,,0,7.59E-08,4.86E-08,,0,,0,0,,,,,,23.51783178
